Episode 526:	Step: 29	Reward: -18.0
Episode 527:	Step: 70	Reward: -59.0
Episode 528:	Step: 30	Reward: -19.0
Episode 529:	Step: 54	Reward: -43.0
Episode 530:	Step: 86	Reward: -75.0
Episode 531:	Step: 4	Reward: 7.0
Episode 532:	Step: 37	Reward: -26.0
Episode 533:	Step: 20	Reward: -9.0
Episode 534:	Step: 74	Reward: -63.0
Episode 535:	Step: 17	Reward: -6.0
Episode 536:	Step: 21	Reward: -10.0
Episode 537:	Step: 52	Reward: -41.0
Episode 538:	Step: 55	Reward: -44.0
Episode 539:	Step: 23	Reward: -12.0
Episode 540:	Step: 44	Reward: -33.0
Test after Episode 540:	Average Step: 10000.0	Average Reward: -10000.0
Episode 541:	Step: 47	Reward: -36.0
Episode 542:	Step: 59	Reward: -48.0
Episode 543:	Step: 47	Reward: -36.0
Episode 544:	Step: 71	Reward: -60.0
Episode 545:	Step: 7	Reward: 4.0
Episode 546:	Step: 33	Reward: -22.0
Episode 547:	Step: 65	Reward: -63.0
Episode 548:	Step: 69	Reward: -58.0
Episode 549:	Step: 30	Reward: -19.0
Episode 550:	Step: 32	Reward: -21.0
Episode 551:	Step: 21	Reward: -10.0
Episode 552:	Step: 39	Reward: -28.0
Episode 553:	Step: 62	Reward: -51.0
Episode 554:	Step: 72	Reward: -61.0
Episode 555:	Step: 16	Reward: -5.0
Episode 556:	Step: 27	Reward: -16.0
Episode 557:	Step: 5	Reward: 6.0
Episode 558:	Step: 41	Reward: -30.0
Episode 559:	Step: 9	Reward: 2.0
Episode 560:	Step: 14	Reward: -3.0
Test after Episode 560:	Average Step: 10000.0	Average Reward: -10000.0
Episode 561:	Step: 32	Reward: -21.0
Episode 562:	Step: 22	Reward: -11.0
Episode 563:	Step: 32	Reward: -21.0
Episode 564:	Step: 28	Reward: -17.0
Episode 565:	Step: 54	Reward: -43.0
Episode 566:	Step: 66	Reward: -55.0
Episode 567:	Step: 99	Reward: -88.0
Episode 568:	Step: 34	Reward: -23.0
Episode 569:	Step: 35	Reward: -24.0
Episode 570:	Step: 54	Reward: -43.0
Episode 571:	Step: 42	Reward: -31.0
Episode 572:	Step: 7	Reward: 4.0
Episode 573:	Step: 63	Reward: -52.0
Episode 574:	Step: 26	Reward: -15.0
Episode 575:	Step: 21	Reward: -10.0
Episode 576:	Step: 37	Reward: -26.0
Episode 577:	Step: 32	Reward: -21.0
Episode 578:	Step: 35	Reward: -24.0
Episode 579:	Step: 60	Reward: -49.0
Episode 580:	Step: 35	Reward: -24.0
Test after Episode 580:	Average Step: 10000.0	Average Reward: -10000.0
Episode 581:	Step: 50	Reward: -39.0
Episode 582:	Step: 14	Reward: -3.0
Episode 583:	Step: 9	Reward: 2.0
Episode 584:	Step: 21	Reward: -10.0
Episode 585:	Step: 39	Reward: -28.0
Episode 586:	Step: 60	Reward: -49.0
Episode 587:	Step: 65	Reward: -54.0
Episode 588:	Step: 60	Reward: -49.0
Episode 589:	Step: 60	Reward: -49.0
Episode 590:	Step: 38	Reward: -27.0
